Country;Country Code;FGM prevalence among girls and women (%);Urban;Rural;Poorest;Second;Middle;Fourth;Richest;;;;;;;;;;;;;;;;;;;BEN;9;;5;;13;;16;;14;;10;;7;;2;;2014;MICS
Benin;BEN;9;5;13;16;14;10;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burkina Faso;BFA;76;69;78;77;78;78;80;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameroon;CMR;1;1;2;1;4;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;CAF;24;18;29;34;31;26;17;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chad;TCD;38;40;38;46;42;37;30;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Côte d'Ivoire;CIV;37;31;44;50;44;43;34;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;DJI;94;94;98;97;96;94;95;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;EGY;87;77;93;94;93;92;87;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;ERI;83;80;85;89;86;84;83;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ethiopia;ETH;65;54;68;65;69;69;69;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gambia;GMB;76;77;72;68;78;85;81;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghana;GHA;4;3;5;13;4;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;PNG;95;95;94;95;94;93;96;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea-Bissau;GNB;45;40;50;18;59;65;47;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iraq;IRQ;7;7;8;1;3;3;6;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenya;KEN;21;14;26;40;26;18;17;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liberia;LBR;44;37;56;58;56;51;38;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mali;MLI;89;89;88;86;86;90;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mauritania;MRT;67;55;79;92;86;70;60;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Niger;NER;2;1;2;2;2;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;NGA;19;24;16;16;18;20;23;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Senegal;SEN;24;20;28;41;30;25;17;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sierra Leone;SLE;86;80;92;93;93;90;85;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Somalia;SOM;98;97;98;98;99;98;97;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sudan;SDN;87;85;87;88;82;81;90;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Togo;TGO;3;3;4;4;4;3;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uganda;UGA;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Republic of Tanzania;TZA;10;5;13;19;10;12;9;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yemen;YEM;19;17;19;27;21;13;20;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
